5_cc,10_cc,20_cc,50_cc,100_cc,Method,Joint
0.0173646182627917,0.1821009967305626,0.4012457298292899,0.1316094697696397,0.4641506454981342,NN,Joint 1
-0.0580115860554144,0.1221538807149131,0.4629868651684612,0.6482692070698699,0.572858054519552,NN,Joint 2
0.4440103412281532,0.4207380321173762,0.5280711689839455,0.757091851379644,0.6269743323262443,NN,Joint 3
0.1283671815659964,-0.0277933935558436,0.117837377910824,0.019126694629792,0.1844973810729476,NN,Joint 4
0.0496304652515684,0.2302950171374908,0.165064330357405,0.2805446618302529,0.3296985630835367,NN,Joint 5
-0.0539400584810982,0.0631072617973501,0.2654286813291617,-0.0710566267983801,0.3974807168664971,NN,Joint 6
0.1616215381716051,0.5047047100581612,0.4806569839778702,0.5155082043945667,0.4984590913230482,PA,Joint 1
0.2142827894490921,0.119533150045769,0.3735008391149289,0.3049902446154557,0.3242316612940573,PA,Joint 2
0.4788329123442071,0.483509687159054,0.5486115313363147,0.6270539541671687,0.6331948779172083,PA,Joint 3
0.0633394988574762,0.1591463651306827,0.242383442514517,0.0881984588902258,0.2319267749991854,PA,Joint 4
0.1895265371531929,0.2676061326711847,0.4293565837805617,0.4654599221265523,0.5101497700640797,PA,Joint 5
0.2332648969056801,0.5001792591645271,0.6095356041253888,0.3018263416810957,0.5268104788632438,PA,Joint 6
0.2341783467920724,0.1169565450655337,0.152729708710035,0.2874749245591733,0.1302974935973756,PG,Joint 1
0.0418607972343559,0.2553870755641897,0.3378519132003086,0.6140023452716411,0.6749485714296668,PG,Joint 2
0.4675622066071339,0.4249757778134554,0.6416024609289953,0.7167566568713848,0.7641686506367813,PG,Joint 3
-0.0160549577093066,0.1078014392546446,0.1158596864326245,0.005955974646052,0.0556393756599805,PG,Joint 4
0.0712100462931703,0.0448936044359991,0.2445491154994124,0.3388348514230654,0.3486280401431176,PG,Joint 5
0.1841084637705748,-0.1061798499559441,0.3538001173364246,0.0379234823421328,0.1775576018822259,PG,Joint 6
