Method,Joint,len5_cc,len5_nrmse,len10_cc,len10_nrmse,len25_cc,len25_nrmse,len50_cc,len50_nrmse,len100_cc,len100_nrmse
NN,Joint 1,0.125223627961864,0.999872088432312,0.19568398760674313,1.0363793969154358,0.3246521196335694,0.976795768737793,0.23817279740916314,1.0247936010360719,0.5370540952728277,0.9666605472564698
NN,Joint 2,0.5387076923598895,0.8603699564933777,0.3284053152865408,1.019425666332245,0.47886552356212475,0.9087706089019776,0.5817516254393673,0.8416863203048706,0.6506960800981342,0.8062028884887695
NN,Joint 3,0.6552540924596698,0.7583560347557068,0.5127379095851682,0.8915931105613708,0.7085799651487182,0.7088122844696045,0.6426724845936251,0.7887601852416992,0.6246647191510963,0.809686255455017
NN,Joint 4,0.08036298919858677,1.0254125833511352,0.384720726584039,0.9745603442192078,0.07823947182071324,1.0879160642623902,0.18876036538164104,1.010744833946228,0.2646202923942208,0.9833715558052063
NN,Joint 5,0.39004010587494475,0.9391406297683715,0.2801290462910647,1.146790361404419,0.3544450946577916,1.0253095626831055,0.282018257618086,0.9807773709297181,0.2714253112148385,1.0494596242904664
NN,Joint 6,0.1412040781533005,1.052086639404297,0.07217541903595476,1.0714722394943237,0.3497675084583831,0.9923668503761292,0.08667213238495045,1.0538010597229004,0.20164329283364085,1.0080789566040038
PA,Joint 1,0.5906789492175762,0.859281599521637,0.5804184144218429,0.9336765050888062,0.6685666745513069,0.8772944211959839,0.6863212744884872,0.8989276885986328,0.6805122656916776,0.8355070590972901
PA,Joint 2,0.5025274701573564,0.994887375831604,0.6398827648531488,0.8585285067558288,0.5571181917952955,0.8596883416175842,0.5382086581566605,0.9124154806137085,0.5006109613267813,0.986779248714447
PA,Joint 3,0.5455873275253748,0.9018783688545227,0.4725817073034452,0.9553453803062439,0.6411884873471358,0.7878950715065003,0.6110854805392613,0.8379522562026978,0.626772789314402,0.7836642742156983
PA,Joint 4,0.4859757440021359,0.9094379544258118,0.3342035536800577,0.9827191472053528,0.4333195827924623,0.9551713466644287,0.5416123262658987,0.881463623046875,0.5250443281686832,0.8936386704444885
PA,Joint 5,0.37858575520997156,1.0713918209075928,0.3498649457585553,1.123196268081665,0.447139791741589,1.0629986763000487,0.4503611466797456,1.0145106196403504,0.48892948992502233,0.9414963364601135
PA,Joint 6,0.5105184317035707,0.9204848527908325,0.5327812099828634,0.9037672996520996,0.597577636059639,0.8645223736763,0.6443346721016147,0.8585654139518738,0.6724258629084392,0.7850063681602478
PG,Joint 1,0.1090250536306316,1.0864382266998291,0.157727483343482,1.0154912233352662,0.42277585632090037,0.9324632167816163,0.43276482767234403,0.9650970578193665,0.5874929788138042,0.8492271065711975
PG,Joint 2,0.5876934593321375,1.0083357095718384,0.5599000629623294,0.8735413432121277,0.5843029612284112,0.8273394465446472,0.48750539298004403,0.9697604298591613,0.5618100339318756,0.9544156432151795
PG,Joint 3,0.5469779901478875,0.951705527305603,0.5817701155650432,0.8196019649505615,0.6665179750215471,0.76236891746521,0.5511194669538415,0.8571413040161133,0.6380173243601749,0.7994708299636841
PG,Joint 4,0.38129374072126626,0.9689903140068055,0.1952897724799725,1.0739616870880127,0.21732417155629496,1.0471132516860961,0.30615651733797145,0.9696216225624085,0.15650078648855842,1.069971752166748
PG,Joint 5,0.205475323786167,1.2883542776107788,0.18350287219484113,1.1773210048675538,0.13789612253883293,1.0899266123771667,0.2971423563601544,1.0659538388252259,0.34439246015577096,0.9969090223312378
PG,Joint 6,0.25008926862447173,1.0353848218917847,0.3133268271412342,0.9832636713981628,0.48152839700294303,0.9083789706230163,0.1777488269729291,1.0531018376350403,0.03310735170459726,1.1201374530792236
