Method,Joint,newsimulated_rad_dsam_puma_noG_cc,newsimulated_rad_dsam_puma_noG_nrmse,newsimulated_rad_dsam_puma_noG_nrmse_std,newsimulated_rad_dsam_puma_cc,newsimulated_rad_dsam_puma_nrmse,newsimulated_rad_dsam_puma_nrmse_std,newsimulated_rad_dsam_noG_cc,newsimulated_rad_dsam_noG_nrmse,newsimulated_rad_dsam_noG_nrmse_std
PA,Joint 1,0.90358000336213,0.4699407160282135,0.021902622601108382,0.8826888098209198,0.49373834729194643,0.00956155379668692,0.8808506451256622,0.5000503987073899,0.029820342516660357
PA,Joint 2,0.9101647460519906,0.4415566623210907,0.014887606098692406,0.8992213463689828,0.4650828897953033,0.011447014515709742,0.893386582349952,0.4690720736980438,0.029215843422230024
PA,Joint 3,0.917789920276023,0.41240260303020476,0.02020790867331582,0.9101490404111205,0.42045328319072717,0.00987940408339149,0.9110273393312699,0.4207621842622757,0.03976103057266084
PA,Joint 4,0.520467111375432,1.0312798857688903,0.08514757695700043,0.6443346560704886,1.0143239319324493,0.015227768977941813,0.6160006068614414,0.916926634311676,0.08194746493023601
PA,Joint 5,0.7769105525925829,0.6975277960300446,0.05726605427458434,0.7502180351930601,0.7306667327880859,0.0337204770847145,0.793575481853274,0.6382181286811829,0.03232564959620611
PA,Joint 6,0.7987326373728632,0.6699340522289277,0.02877088852524356,0.7542969641959988,0.7246316850185395,0.025701998424793978,0.7643132764809601,0.7022106289863587,0.03248655781589082
