Method,Joint,rad_dsam_puma_noG_nrmse
PA,Joint 1,0.8795094430446625
PA,Joint 2,0.9186013758182525
PA,Joint 3,0.8602086067199707
PA,Joint 4,0.9024759650230407
PA,Joint 5,0.9873455047607422
PA,Joint 6,0.8810422003269196
