Method,Hdim,Joint,newsimulated_rad_dsam_0_nrmse,newsimulated_rad_dsam_0_cc,newsimulated_rad_dsam_1_nrmse,newsimulated_rad_dsam_1_cc,newsimulated_rad_dsam_2_nrmse,newsimulated_rad_dsam_2_cc,newsimulated_rad_dsam_3_nrmse,newsimulated_rad_dsam_3_cc,newsimulated_rad_dsam_4_nrmse,newsimulated_rad_dsam_4_cc,newsimulated_rad_0_nrmse,newsimulated_rad_0_cc,newsimulated_rad_1_nrmse,newsimulated_rad_1_cc,newsimulated_rad_2_nrmse,newsimulated_rad_2_cc,newsimulated_rad_3_nrmse,newsimulated_rad_3_cc,newsimulated_rad_4_nrmse,newsimulated_rad_4_cc
NN,60,Joint 1,1.164453148841858,0.1407012033237966,1.015458345413208,0.0509541712001935,1.101681351661682,0.218607532638338,1.1476516723632812,0.2107872491311798,1.1902624368667605,0.1156702252313748,1.0358082056045532,0.4727114849838947,0.8745326399803162,0.6210399204711995,1.0423940420150757,0.5207520382233786,0.9158507585525512,0.5610468288113041,0.9996501803398132,0.5177488642112665
NN,60,Joint 2,0.4540770649909973,0.8988321991936643,0.4335215985774994,0.9031787197050424,0.4793608784675598,0.890061316528604,0.45872363448143,0.8920671188150805,0.4788361191749573,0.8937487172049129,0.4955014586448669,0.90153007266803,0.4205784797668457,0.9164677388324628,0.5445602536201477,0.8745176090163556,0.4606187641620636,0.9021103433678418,0.4302878975868225,0.9176169523861696
NN,60,Joint 3,0.4525450468063354,0.8926088031117978,0.4413495361804962,0.9016675302854138,0.4580186605453491,0.8918709034122202,0.4409981071949005,0.8992638646323017,0.4828197658061981,0.884983793107933,0.4895483553409576,0.876262214874401,0.4537699818611145,0.8973891507179108,0.5066882371902466,0.8762025672641809,0.5197963714599609,0.8728519741775834,0.4867847859859466,0.8829795868130053
NN,60,Joint 4,0.984404444694519,0.5449751338835058,0.9566614031791688,0.5245881272094908,1.011433482170105,0.5353098918547265,1.1920093297958374,0.4654479964130272,1.070399522781372,0.4626623034642281,1.0791494846343994,0.5702812199698386,1.1433382034301758,0.4996279874772854,1.20251727104187,0.5664543440139962,1.0714333057403564,0.5601776673394734,1.1871074438095093,0.4524737681513194
NN,60,Joint 5,0.6983647346496582,0.7621482569981509,0.8009741306304932,0.7083312064918871,0.7129494547843933,0.758050554959182,0.9587891697883606,0.7115629331732178,0.7716629505157471,0.7499553040415139,0.8797579407691956,0.7426610197728009,0.7736124992370605,0.7610773558559487,0.8048400282859802,0.7870481442616275,0.7728893756866455,0.7658610518020732,0.7466958165168762,0.7572927597603374
NN,60,Joint 6,0.8236831426620483,0.6513072881053156,0.8372670412063599,0.5846720995647396,0.7778272032737732,0.7031635652972184,0.789691686630249,0.6364012705639855,0.775489866733551,0.6866011709607407,0.9144884943962096,0.6323735760564879,0.8998916745185852,0.6385743370151351,0.8265442848205566,0.6879731399433044,0.937669038772583,0.574270170160925,0.7394047975540161,0.7248640296376083
PA,60,Joint 1,0.5586842894554138,0.8622679447144264,0.5517516732215881,0.8701449275870883,0.5248637199401855,0.8681621509447542,0.5422554612159729,0.8832773613151422,0.5472328066825867,0.8525261542719185,0.6071878671646118,0.8340143391722191,0.6566998362541199,0.8013706459294234,0.6416904926300049,0.8065460770602008,0.6401792168617249,0.7994470864456377,0.6893303990364075,0.7919216335018284
PA,60,Joint 2,0.4536418914794922,0.9050732203831896,0.4661616384983063,0.8991549542681592,0.4548370242118835,0.9063321170798782,0.4615534245967865,0.9044820090163214,0.4840172827243805,0.8948993260951703,0.4743186831474304,0.9227881394515612,0.4694061279296875,0.9203419879561276,0.4334831833839416,0.9222732064816206,0.4365836381912231,0.9276940915895908,0.4510432183742523,0.9184505799038328
PA,60,Joint 3,0.4502659142017364,0.900236844957847,0.4599596261978149,0.8965216311128692,0.4441590011119842,0.9034482532947192,0.4287777841091156,0.9080388698186406,0.4013322293758392,0.9162867189046856,0.4003119766712188,0.9253108317290312,0.3913840353488922,0.9317814498820548,0.3893514275550842,0.9284004986713488,0.4102498888969421,0.9286963638401494,0.4417698085308075,0.9166672680441508
PA,60,Joint 4,1.0376038551330566,0.6544419925939274,1.0766328573226929,0.632949763025434,1.0993176698684692,0.6419409588914409,1.023584008216858,0.6420639095066292,1.038141846656799,0.6209896089117446,1.067832350730896,0.5702033484850884,1.097473382949829,0.5383304746829207,1.0183019638061523,0.5553916647766473,1.1533372402191162,0.5225462817380059,1.0641825199127195,0.5541783162868588
PA,60,Joint 5,0.8102527260780334,0.7491769187205097,0.771723210811615,0.7462391387351284,0.8094306588172913,0.6912987763551803,0.7585316896438599,0.7863531083935196,0.7974134683609009,0.6855232974871928,0.6836848258972168,0.801913754870869,0.801501989364624,0.7294452018493858,0.6949669718742371,0.7996331841751245,0.8263053297996521,0.7471547542938897,0.7977797985076904,0.7540625785424959
PA,60,Joint 6,0.759476363658905,0.7382444482715598,0.7187191247940063,0.7619314141558964,0.748801589012146,0.7713736774151994,0.6846249103546143,0.7727399880744295,0.7231563925743103,0.7860724670137529,0.8001412153244019,0.7502901191381389,0.7129086256027222,0.7694485412283023,0.7719864845275879,0.7494185151938848,0.7477912902832031,0.7733325403435848,0.6840455532073975,0.7856944606823515
PG,60,Joint 1,0.8217124342918396,0.6559685877050474,0.8028208613395691,0.6770736147348917,0.7028810977935791,0.7518278633750346,0.7713285088539124,0.6696516696079514,0.780788242816925,0.6751040803350155,0.5567306876182556,0.8560039838515271,0.6155747175216675,0.8246573838341176,0.7406219840049744,0.7044274250698149,0.8695873618125916,0.6491606137957134,0.6626842021942139,0.7770446412161213
PG,60,Joint 2,0.4648393392562866,0.8993625653061482,0.4710257351398468,0.89690032358339,0.4842459559440613,0.8987764283203783,0.4411702454090118,0.9095060630049076,0.4485318064689636,0.9036970088822504,0.4420185089111328,0.9114709144602434,0.4195661842823028,0.9155425625971072,0.4344881474971771,0.912004204863818,0.4501559138298034,0.9103585311536708,0.4108659327030182,0.9188740355609883
PG,60,Joint 3,0.446120023727417,0.9124413641165044,0.4436640739440918,0.9039046783703908,0.4688979089260101,0.9006164812405622,0.4156253039836883,0.9222096020141198,0.4568075835704803,0.9050876697746226,0.3938657343387604,0.9216512074553728,0.3908903002738952,0.93251768710778,0.4298095703125,0.9072575020110004,0.4625313580036163,0.8934014797512561,0.4205218851566314,0.9114627865861722
PG,60,Joint 4,0.952505350112915,0.6282129792980037,1.1644691228866575,0.5439238792875619,0.9903646111488342,0.6344742775365142,0.8998964428901672,0.6022356981053658,0.9589259028434752,0.541649616706745,0.9691433906555176,0.6446848671278815,0.8987518548965454,0.6706609311831535,0.8521866798400879,0.6770574925469506,1.1321920156478882,0.54079860869643,1.1420402526855469,0.4342183216132536
PG,60,Joint 5,0.6980323791503906,0.8107163662899424,0.7958657741546631,0.7793329973973944,0.7770073413848877,0.7412289597469046,0.6404871940612793,0.7967627039349517,0.6663375496864319,0.7974611916517385,0.6263440847396851,0.8386570942953424,0.7703813314437866,0.7466654337158655,0.7197993397712708,0.7920510444033302,0.7048154473304749,0.7832928801084897,0.6378815770149231,0.8194420790419988
PG,60,Joint 6,0.7592511773109436,0.6640165994332163,0.7926074266433716,0.6419768542812014,0.8346824645996094,0.6430477713658258,0.7857488989830017,0.6819591053401443,0.7843919396400452,0.6754377012436233,0.7713022232055664,0.7390394498088673,0.8140085935592651,0.704806028550248,0.7801022529602051,0.7328415344209162,0.7756745219230652,0.7284365602546751,0.8880117535591125,0.6432257693411751
