Method,Joint,rad_dsam_cc,rad_dsam_nrmse,rad_dsam_nrmse_std,rad_dsam_puma_noG_cc,rad_dsam_puma_noG_nrmse,rad_dsam_puma_noG_nrmse_std
PA,Joint 1,0.6834210021369592,0.8267290234565735,0.03511590318065012,0.6628084311825844,0.8795094430446625,0.11411116892513312
PA,Joint 2,0.47941830724112766,0.9727306365966797,0.040684011375927025,0.5866811786863884,0.9186013758182525,0.05194816231012955
PA,Joint 3,0.6133904373712111,0.7947364985942841,0.013415037559148222,0.5591743034401817,0.8602086067199707,0.038941919458083674
PA,Joint 4,0.5235046438588579,0.8921433389186859,0.01229253537855839,0.4945932670482849,0.9024759650230407,0.06224343147095157
PA,Joint 5,0.4657156536172007,0.9435475111007691,0.025997456338004304,0.49466002999398945,0.9873455047607422,0.050896145445245115
PA,Joint 6,0.6762909126987877,0.7773855745792388,0.019809693898490834,0.5840707760323364,0.8810422003269196,0.03710898572982262
