Method,Joint,len10_cc,len10_nrmse,len25_cc,len25_nrmse,len50_cc,len50_nrmse,len100_cc,len100_nrmse
NN,Joint 1,-0.09098447108971922,1.079931950569153,0.04686323517662736,1.1855515480041503,-0.18645059073500442,1.047779655456543,0.1371065468967888,1.0926642656326293
NN,Joint 2,0.8215528492858348,0.5794467806816102,0.8860905684149216,0.4892802476882935,0.8966983415662184,0.4457045793533325,0.8884469958699114,0.47812387347221375
NN,Joint 3,0.8863056959637282,0.5062209129333496,0.869466737241528,0.49969820976257323,0.9044754650150899,0.4279909491539001,0.8822543204869252,0.47725051641464233
NN,Joint 4,0.26670389576558096,1.0760759592056275,0.259872423986642,1.1278990745544433,0.07015010756898368,1.0573107481002808,0.43310778367234964,1.0506319999694824
NN,Joint 5,0.3457208204586748,1.0721890449523925,0.7100207931003635,0.7624080657958985,0.666810831663479,0.8113737106323242,0.7430935042657462,0.7544774532318115
NN,Joint 6,0.4181235327377193,0.9180961966514587,0.534132679122443,0.948564088344574,0.29612705947973944,1.0049062013626098,0.6584525506087798,0.795065701007843
PA,Joint 1,0.7188071532150856,0.7113455414772034,0.8335345614112321,0.6123071789741517,0.8915237351152246,0.500945919752121,0.9053376498983277,0.4714900016784668
PA,Joint 2,0.8730688948476393,0.5048827409744263,0.8752871429690409,0.5083770751953125,0.9012993238343615,0.4566645920276642,0.9113732842947699,0.43841752409935
PA,Joint 3,0.8755748728999277,0.484462583065033,0.8899956967882755,0.4695851027965546,0.9065282248281992,0.4382959842681885,0.9179600788876273,0.41238669157028196
PA,Joint 4,0.5589371080261125,0.9002798557281494,0.5951146227885247,0.9738286972045899,0.4238895144953648,1.027434480190277,0.53729237386863,1.0422154188156127
PA,Joint 5,0.7701966138744958,0.6835727691650391,0.7874211017291811,0.7402284979820252,0.7474953911593886,0.7290668368339539,0.7809075464694695,0.7043999791145324
PA,Joint 6,0.6493202720925346,0.8406962990760803,0.7251817854339867,0.8128188848495483,0.7781032301203288,0.7644572257995605,0.7969425566630106,0.6701622605323792
PG,Joint 1,0.07547164544015969,1.187873125076294,0.18886568068417298,1.081295371055603,0.06606732135318864,1.0967413425445556,0.3411178400410083,1.0651910781860352
PG,Joint 2,0.884934516453824,0.4766514778137207,0.8775280700178577,0.5047320604324341,0.8846143720212792,0.4773317575454712,0.9142883982432805,0.4232146978378296
PG,Joint 3,0.8716976332730846,0.4996644020080566,0.8708734199681751,0.520308792591095,0.8704522039470295,0.4998882293701172,0.9040815008805259,0.44703083038330077
PG,Joint 4,0.6203629590099572,0.9184971570968627,0.3160460207266168,1.1852582693099976,0.46925763806805704,1.1430252552032472,0.6248883595894201,0.9036327242851258
PG,Joint 5,0.4862934018309457,0.9803808689117431,0.7146134374508648,0.7495699405670166,0.7166065616364825,0.7805526733398438,0.7913293018277148,0.6935265302658081
PG,Joint 6,0.4474306614174986,0.9679779648780823,0.43500305148129836,0.9722298145294189,0.45255836457333354,0.9327556252479553,0.4753122662598243,0.974974763393402
