5_cc,10_cc,20_cc,50_cc,100_cc,Method,Joint
0.0584416725104323,0.0348478824748634,0.4246592425962364,0.4908778712467249,0.656198692322153,NN,Joint 1
0.0610823113938249,0.2211194662676325,0.4635221448092445,0.697055087476967,0.7629811785839382,NN,Joint 2
0.4881807168027084,0.4347011880677587,0.6544508647184302,0.6905332025542521,0.6667253718911885,NN,Joint 3
0.0231212941230151,-0.0463539838080455,0.0164355701471204,0.3328317166671827,0.5238656905335183,NN,Joint 4
0.2295601334240332,0.365556964131436,0.3699950093849095,0.2541317760378993,0.0564502932660132,NN,Joint 5
-0.1028756166683558,-0.0634595412596473,0.4659542844644196,0.5113532663735811,0.3725235098278886,NN,Joint 6
0.435040533245786,0.4494365382149197,0.5374601573820563,0.5602521543698307,0.6395519696918293,PA,Joint 1
0.3127112332076758,0.2655149779084476,0.2357052332740327,0.3679980560881256,0.3172097059774844,PA,Joint 2
0.2668931807085306,0.5779710402177514,0.5896503081373683,0.5502768351528605,0.7086689556902599,PA,Joint 3
0.1184032155434087,0.0345070838391607,0.2348691892280905,0.1433777898046501,0.3439225616232699,PA,Joint 4
0.2539971982599686,0.1422645241521504,0.2185968811827335,0.1150336816133825,0.3522363821502683,PA,Joint 5
0.5317878932564737,0.5056550839430294,0.4938575761714629,0.6394658234192944,0.4612422125059481,PA,Joint 6
-0.1040636498362942,0.1843474770118564,0.1878870310644398,0.150926491539636,0.7483265939410243,PG,Joint 1
-0.0195729529943142,0.4198939761738718,0.2412596438659904,0.5954909701003164,0.7102977529229234,PG,Joint 2
0.4684513163352516,0.526376984404276,0.6600647146066089,0.7502729995046209,0.6871811667434209,PG,Joint 3
0.0621386475511297,0.1082689457638245,0.2292948829808547,0.1006403239835695,0.1296673780600109,PG,Joint 4
0.2244275179221423,0.0859425172533923,0.2038675203163573,0.3838733638736429,0.2905614779158114,PG,Joint 5
-0.1015828870833077,0.1667588139918474,0.3495608322735093,-0.0275576213230687,-0.0718898929891204,PG,Joint 6
