5_nrmse,10_nrmse,20_nrmse,50_nrmse,100_nrmse,Method,Joint
1.0788761377334597,1.0185354948043823,0.9565663933753968,1.0186965465545654,0.9480732083320618,NN,Joint 1
1.02055823802948,1.0011194944381714,0.8978308439254761,0.7723435759544373,0.8713810443878174,NN,Joint 2
0.915182888507843,0.923432469367981,0.866882860660553,0.6592613458633423,0.8079689741134644,NN,Joint 3
1.084594964981079,1.0539183616638184,1.0331755876541138,1.0260789394378662,1.076689839363098,NN,Joint 4
1.0226781368255615,0.9790019989013672,1.0229783058166504,0.9679237008094788,1.0319830179214478,NN,Joint 5
1.0294092893600464,0.9997622966766356,0.9682414531707764,1.06693434715271,0.9704184532165528,NN,Joint 6
1.0927430391311646,0.913021683692932,0.9434505105018616,0.918685257434845,0.9320017099380492,PA,Joint 1
1.2889935970306396,1.2104988098144531,1.033384919166565,1.0102653503417969,0.9856879115104676,PA,Joint 2
1.121111273765564,0.977042555809021,0.9632185697555542,0.7811711430549622,0.8231857419013977,PA,Joint 3
1.1341686248779297,1.1286849975585938,1.025448441505432,1.0781452655792236,1.0916069746017456,PA,Joint 4
1.582897663116455,1.296948790550232,0.987449586391449,0.93461412191391,0.90024733543396,PA,Joint 5
1.1136096715927124,0.9180399775505066,0.8381872177124023,1.0987595319747925,0.9079535603523254,PA,Joint 6
1.0360469818115234,1.0239253044128418,1.0840027332305908,0.973844349384308,0.9975036382675172,PG,Joint 1
1.0233765840530396,0.9679477214813232,0.9741671085357666,0.797512948513031,0.7728778719902039,PG,Joint 2
1.0362979173660278,0.9151318669319152,0.7758201956748962,0.6995233297348022,0.6451350450515747,PG,Joint 3
1.0536826848983765,1.0452649593353271,1.1231348514556885,1.045997977256775,1.0218510627746582,PG,Joint 4
1.004014015197754,1.0175724029541016,1.0118125677108765,0.9529675841331482,0.939003884792328,PG,Joint 5
1.0009067058563232,1.0143640041351318,1.0849885940551758,1.0856854915618896,1.0216269493103027,PG,Joint 6
