Method,Joint,len5_cc,len5_nrmse,len10_cc,len10_nrmse,len25_cc,len25_nrmse,len50_cc,len50_nrmse,len100_cc,len100_nrmse
NN,Joint 1,0.02083331419542786,1.0707747220993045,-0.07818870489769761,1.0909751415252686,0.039066703134361704,1.239507246017456,-0.19352091798365392,1.0534319162368775,0.14734407630497653,1.1239013910293578
NN,Joint 2,0.8226587196902461,0.5943597912788391,0.8005955210772617,0.6039507746696472,0.8875472993720221,0.508725517988205,0.8970674237277292,0.44582180976867675,0.8955776142894608,0.46090385913848875
NN,Joint 3,0.8325468698555849,0.5629339933395385,0.8796424413458676,0.5055128455162048,0.8710578607928561,0.5047425150871276,0.9022606436913476,0.4350236475467682,0.8940789789099333,0.4551462233066559
NN,Joint 4,0.33101739082274345,1.065230917930603,0.26579792901786664,1.0773407697677613,0.2508451417197209,1.1615777015686035,0.08533423216540423,1.0557628393173217,0.5065966905649957,1.0429816365242004
NN,Joint 5,0.5316044530476303,0.9848176717758179,0.32540551136412565,1.0766231060028075,0.6916680904252613,0.7982179284095764,0.6768352062859451,0.7965597987174988,0.7380096511327903,0.7885480880737304
NN,Joint 6,0.47532075577219574,0.9149405479431152,0.42840552362180795,0.9278194546699524,0.6058988957527338,0.9011097192764282,0.3094180140628645,1.0100250720977784,0.6524290788984,0.8007917881011963
PA,Joint 1,0.6929808534904236,0.7322658061981201,0.6475872415327469,0.7960361123085022,0.8048228009190938,0.678436005115509,0.7822260653673279,0.6792189836502075,0.867275707766666,0.5449575901031494
PA,Joint 2,0.8168283488767976,0.5872601985931396,0.8742625376309171,0.4959506094455719,0.8649933373134779,0.5211877763271332,0.8543830600125591,0.5261329770088196,0.9019883253685437,0.4640422523021698
PA,Joint 3,0.8327682588298885,0.5683683037757874,0.8655298914559602,0.5075469672679901,0.8709879487543958,0.5065618276596069,0.8786218080584378,0.4919653296470642,0.9049064636177523,0.436898910999298
PA,Joint 4,0.4927844120956629,0.9282828807830811,0.5976004767916446,0.8537115573883056,0.602539701467185,0.8931856751441956,0.6834942246822393,0.9717496633529663,0.6384772465858353,1.0550560474395752
PA,Joint 5,0.6369315189541596,0.8599309086799621,0.6355472161768613,0.826053237915039,0.7450517630330236,0.7356291651725769,0.7226471760761285,0.8224400401115417,0.7317182479383062,0.7894703507423401
PA,Joint 6,0.6633146738662095,0.8159605860710144,0.6594233928475797,0.8231851696968079,0.6978331932311039,0.8407228350639343,0.7412977239680039,0.8015424728393554,0.7660723989861675,0.7269556760787964
PG,Joint 1,0.11671959233151472,1.1584694385528564,0.06068478358185479,1.187953519821167,0.4793607617163409,0.9598788619041443,0.38451331205072103,1.0359711647033691,0.685925163151588,0.7759062290191651
PG,Joint 2,0.8290916179946015,0.5941567063331604,0.8793998023992169,0.4893988847732544,0.8762456906659871,0.5156861245632172,0.8992610912476702,0.44827728271484374,0.9016484778194149,0.461962616443634
PG,Joint 3,0.7817639788149778,0.6415881991386414,0.8710967268709915,0.4917170345783234,0.8710332119939135,0.5344610810279846,0.9008242660995369,0.44788849353790283,0.90885195910324,0.4462229788303375
PG,Joint 4,0.22911259937722442,1.255785346031189,0.5505892947778885,0.9264080643653869,0.5724914858255603,1.0193415880203247,0.5163903769325814,1.0943063974380494,0.5900992901868382,0.9932322859764099
PG,Joint 5,0.7468797941268885,0.7938454985618592,0.750061113954267,0.7410719633102417,0.7319542342039969,0.7555102229118347,0.7512737067203222,0.7788516044616699,0.7851004438041864,0.7155460476875305
PG,Joint 6,0.5125348382118455,0.9564588189125061,0.49985629310816027,0.9388877034187317,0.6615392464100932,0.834179413318634,0.6493111021166437,0.8414423942565918,0.6612876063328021,0.7913363814353943
